sortTime,departureTime_timeAMPM,departureTime_time24,arrivalTime_timeAMPM,arrivalTime_time24,carrier_fs,carrier_name,carrier_flightNumber,operatedBy,url,airport_fs,airport_city,isCodeshare
2024-03-28T07:20:00.000Z,12:30AM,00:30,2:20PM,14:20,GA,Garuda Indonesia,983,,/flight-tracker/GA/983?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026554,JED,Jeddah,
2024-03-28T07:20:00.000Z,12:30AM,00:30,2:20PM,14:20,SV,Saudia,6193,Operated by Garuda Indonesia 983,/flight-tracker/SV/6193?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026554,JED,Jeddah,TRUE
2024-03-28T07:20:00.000Z,12:55PM,12:55,2:20PM,14:20,ID*,Batik Air,6563,,/flight-tracker/ID*/6563?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031229,PLW,Palu,
2024-03-28T07:20:00.000Z,12:10PM,12:10,2:20PM,14:20,ID*,Batik Air,6835,,/flight-tracker/ID*/6835?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031304,DTB,Siborong-Borong,
2024-03-28T07:20:00.000Z,12:35PM,12:35,2:20PM,14:20,ID*,Batik Air,6857,,/flight-tracker/ID*/6857?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031301,PKU,Pekanbaru,
2024-03-28T07:25:00.000Z,6:25AM,06:25,2:25PM,14:25,6E,IndiGo,1601,,/flight-tracker/6E/1601?year=2024&amp;month=3&amp;date=28&amp;flightId=1242984862,BOM,Mumbai,
2024-03-28T07:25:00.000Z,12:00PM,12:00,2:25PM,14:25,SJV,Super Air Jet,897,,/flight-tracker/SJV/897?year=2024&amp;month=3&amp;date=28&amp;flightId=1243032016,KNO,Kuala Namu,
2024-03-28T07:30:00.000Z,1:10PM,13:10,2:30PM,14:30,ID*,Batik Air,6183,,/flight-tracker/ID*/6183?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031189,UPG,Ujung Pandang,
2024-03-28T07:30:00.000Z,1:10PM,13:10,2:30PM,14:30,ID*,Batik Air,6527,,/flight-tracker/ID*/6527?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031195,LBJ,Labuan Bajo,
2024-03-28T07:30:00.000Z,1:25PM,13:25,3:00PM,15:00,GA,Garuda Indonesia,2914,,/flight-tracker/GA/2914?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026416,MLG,Malang,
